Start Date,End Date,Approving,Disapproving,Unsure/NoData,Year,Month
12/10/1976,1976-12-13,53,32,15,1976,12
06/08/1976,1976-06-08,45,39,14,1976,6
05/17/1976,1976-05-17,47,37,15,1976,5
04/09/1976,1976-04-12,48,41,11,1976,4
03/16/1976,1976-03-16,50,35,13,1976,3
02/27/1976,1976-03-01,50,39,11,1976,3
01/27/1976,1976-01-27,46,39,13,1976,1
01/20/1976,1976-01-20,44,44,10,1976,1
12/30/1975,1975-12-30,45,41,12,1975,12
12/12/1975,1975-12-15,39,45,15,1975,12
12/02/1975,1975-12-02,45,37,16,1975,12
11/18/1975,1975-11-18,41,46,12,1975,11
10/28/1975,1975-10-28,44,43,12,1975,10
10/14/1975,1975-10-14,46,40,13,1975,10
10/03/1975,1975-10-06,47,36,16,1975,10
09/09/1975,1975-09-09,44,38,17,1975,9
08/12/1975,1975-08-12,46,38,14,1975,8
07/29/1975,1975-07-29,45,36,18,1975,7
06/24/1975,1975-06-24,51,33,14,1975,6
05/27/1975,1975-05-27,50,32,16,1975,5
05/02/1975,1975-05-05,39,43,17,1975,5
04/15/1975,1975-04-15,39,46,14,1975,4
04/01/1975,1975-04-01,43,36,19,1975,4
03/25/1975,1975-03-25,36,43,19,1975,3
03/04/1975,1975-03-04,38,44,16,1975,3
02/25/1975,1975-02-25,38,45,16,1975,2
01/28/1975,1975-01-28,38,43,18,1975,1
01/07/1975,1975-01-07,37,38,24,1975,1
12/03/1974,1974-12-03,42,41,16,1974,12
11/12/1974,1974-11-12,48,31,20,1974,11
11/05/1974,1974-11-05,47,33,19,1974,11
10/15/1974,1974-10-15,53,28,17,1974,10
10/08/1974,1974-10-08,52,28,19,1974,10
09/24/1974,1974-09-24,49,28,21,1974,9
09/03/1974,1974-09-03,66,12,20,1974,9
08/13/1974,1974-08-13,70,3,26,1974,8
